1200,16.10.2023,11:23
0,16.10.2023,15:40
0,16.10.2023,15:42
0,16.10.2023,15:43
0,16.10.2023,15:45
0,16.10.2023,15:45
0,16.10.2023,15:43
0,16.10.2023,15:45
0,16.10.2023,15:45
30,16.10.2023,19:23
240,16.10.2023,19:23
41100,17.10.2023,10:11
0,17.10.2023,10:14
0,17.10.2023,10:15
0,17.10.2023,10:16
0,17.10.2023,13:0
0,17.10.2023,13:1
0,17.10.2023,13:2
0,17.10.2023,13:10
0,17.10.2023,13:10
0,17.10.2023,13:15
0,17.10.2023,13:18
0,17.10.2023,13:22
0,17.10.2023,13:23
0,17.10.2023,13:24
0,17.10.2023,13:24
0,17.10.2023,13:25
0,17.10.2023,13:26
1830,17.10.2023,13:37
0,17.10.2023,16:41
580,17.10.2023,18:12
0,27.10.2023,13:1
480,27.10.2023,14:16
0,30.10.2023,4:41
90,30.10.2023,5:22
0,30.10.2023,10:50
